parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-200.01127981754345,-199.98781784088362,"(-200.01, -199.99)",True
S1,-319.10990639964007,-319.10990639964007,"(-319.11, -319.11)",False
M0,-41.49823795593863,-41.49823795593863,"(-41.50, -41.50)",False
M1,-160.00046128002649,-159.9995046670008,"(-160.00, -160.00)",True
M6,-82.99647591187725,-82.99647591187725,"(-83.00, -83.00)",False
M7,-165.00466856347956,-164.99509282936958,"(-165.00, -165.00)",True
T0,-5.401361192299467,-5.398533090049519,"(-5.40, -5.40)",True
T1,5.998069907098928,6.002688005170455,"(6.00, 6.00)",True
T2,1.998074302036535,2.0021652142295263,"(2.00, 2.00)",True
