parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-36.930879240029284,36.930879240029284,"(-36.93, 36.93)",True
S1,-133.94789362775117,133.94789362775117,"(-133.95, 133.95)",True
M0,-11.175229785040868,11.175229785040868,"(-11.18, 11.18)",True
M1,-14.202836057616741,14.202836057616741,"(-14.20, 14.20)",True
M6,-22.350459570081735,22.350459570081735,"(-22.35, 22.35)",True
M7,-20.296373713168833,20.296373713168833,"(-20.30, 20.30)",True
T0,-0.6521870611519979,0.6521870611519972,"(-0.65, 0.65)",True
T1,-0.2564301689994948,0.2564301689994948,"(-0.26, 0.26)",True
T2,-0.7702766676621743,0.770276667662174,"(-0.77, 0.77)",True
