parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-55.70787716968836,55.70787716968836,"(-55.71, 55.71)",True
S1,-204.96025486235402,204.96025486235402,"(-204.96, 204.96)",True
M0,-17.899795492714727,17.899795492714727,"(-17.90, 17.90)",True
M1,-21.46920766974165,21.46920766974165,"(-21.47, 21.47)",True
M6,-35.799590985429454,35.799590985429454,"(-35.80, 35.80)",True
M7,-32.116385606610535,32.116385606610535,"(-32.12, 32.12)",True
T0,-0.8329190490631951,0.8329190490631947,"(-0.83, 0.83)",True
T1,-0.3119471092684607,0.3119471092684607,"(-0.31, 0.31)",True
T2,-0.9492214228028528,0.9492214228028518,"(-0.95, 0.95)",True
