parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-94.14357183521527,94.14357183521527,"(-94.14, 94.14)",True
S1,-43.828688581301755,43.828688581301755,"(-43.83, 43.83)",True
M0,-1.0370050637902555,1.0370050637902555,"(-1.04, 1.04)",True
M1,-3.452026556225352,3.452026556225352,"(-3.45, 3.45)",True
M6,-2.074010127580511,2.074010127580511,"(-2.07, 2.07)",True
M7,-7.65651954115816,7.65651954115816,"(-7.66, 7.66)",True
T0,-0.1430802718746185,0.14308027187461964,"(-0.14, 0.14)",True
T1,-0.19441758104771528,0.19441758104771528,"(-0.19, 0.19)",True
T2,-0.5023077348199793,0.5023077348199793,"(-0.50, 0.50)",True
