parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-126.19790635377844,126.19790635377844,"(-126.20, 126.20)",True
S1,0,0,"(0.00, 0.00)",False
M0,0,0,"(0.00, 0.00)",False
M1,-58.93161863703286,58.93161863703286,"(-58.93, 58.93)",True
M6,0,0,"(0.00, 0.00)",False
M7,-85.02097251318217,85.02097251318217,"(-85.02, 85.02)",True
T0,-2.156377303569128,2.15637730356913,"(-2.16, 2.16)",True
T1,-0.8245272702284087,0.8245272702284087,"(-0.82, 0.82)",True
T2,-2.577617261463151,2.577617261463151,"(-2.58, 2.58)",True
