parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-368.4205280872632,368.4205280872632,"(-368.42, 368.42)",True
S1,0,0,"(0.00, 0.00)",False
M0,0,0,"(0.00, 0.00)",False
M1,-83.01170877261012,83.01170877261012,"(-83.01, 83.01)",True
M6,0,0,"(0.00, 0.00)",False
M7,-123.5269915204016,123.5269915204016,"(-123.53, 123.53)",True
T0,-3.234464080046466,3.234464080046465,"(-3.23, 3.23)",True
T1,-1.2095541451124998,1.2095541451124998,"(-1.21, 1.21)",True
T2,-3.7436134253380624,3.7436134253380624,"(-3.74, 3.74)",True
