parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-122.80165763395702,122.80165763395702,"(-122.80, 122.80)",True
S1,0,0,"(0.00, 0.00)",False
M0,0,0,"(0.00, 0.00)",False
M1,-51.59199303283366,51.59199303283366,"(-51.59, 51.59)",True
M6,0,0,"(0.00, 0.00)",False
M7,-74.83099516306768,74.83099516306768,"(-74.83, 74.83)",True
T0,-1.9746598179749666,1.9746598179749681,"(-1.97, 1.97)",True
T1,-0.7282054902309046,0.7282054902309046,"(-0.73, 0.73)",True
T2,-2.3131919378611427,2.3131919378611427,"(-2.31, 2.31)",True
