parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-81.17227578849803,81.17227578849803,"(-81.17, 81.17)",True
S1,-64.30728952914518,64.30728952914518,"(-64.31, 64.31)",True
M0,-0.7713824879577307,0.7713824879577307,"(-0.77, 0.77)",True
M1,-5.8899492204821735,5.8899492204821735,"(-5.89, 5.89)",True
M2,-1.132115146738881,1.132115146738881,"(-1.13, 1.13)",True
M3,-8.724833027490963,8.724833027490963,"(-8.72, 8.72)",True
M4,-6.724007693764552,6.724007693764552,"(-6.72, 6.72)",True
M5,-21.047225637304404,21.047225637304404,"(-21.05, 21.05)",True
M6,-1.5427649759154614,1.5427649759154614,"(-1.54, 1.54)",True
M7,-11.608009427874016,11.608009427874016,"(-11.61, 11.61)",True
T0,-0.30111647108442596,0.301116471084425,"(-0.30, 0.30)",True
T1,-0.4050404184874791,0.4050404184874791,"(-0.41, 0.41)",True
T2,-0.7905683108496008,0.7905683108496007,"(-0.79, 0.79)",True
T5,-0.7541431730002351,0.7541431730002316,"(-0.75, 0.75)",True
T6,-1.3210984451960825,1.3210984451960825,"(-1.32, 1.32)",True
T7,-2.6124675994389635,2.6124675994389563,"(-2.61, 2.61)",True
T8,-0.6729845280844484,0.6729845280844479,"(-0.67, 0.67)",True
T9,-1.4419080650294964,1.441908065029496,"(-1.44, 1.44)",True
