parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-208.82606472332694,208.82606472332694,"(-208.83, 208.83)",True
S1,0,0,"(0.00, 0.00)",False
M0,0,0,"(0.00, 0.00)",False
M1,-75.2302373937592,75.2302373937592,"(-75.23, 75.23)",True
M6,0,0,"(0.00, 0.00)",False
M7,-109.92995042468787,109.92995042468787,"(-109.93, 109.93)",True
T0,-2.45496257731104,2.4549625773110404,"(-2.45, 2.45)",True
T1,-0.9095731235188431,0.9095731235188431,"(-0.91, 0.91)",True
T2,-2.822058571450178,2.822058571450178,"(-2.82, 2.82)",True
