parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-178.6792699045181,178.6792699045181,"(-178.68, 178.68)",True
S1,-69.6774019622346,69.6774019622346,"(-69.68, 69.68)",True
M0,-1.2374598837253898,1.2374598837253898,"(-1.24, 1.24)",True
M1,-5.122824353389537,5.122824353389537,"(-5.12, 5.12)",True
M6,-2.4749197674507797,2.4749197674507797,"(-2.47, 2.47)",True
M7,-9.978465077783875,9.978465077783875,"(-9.98, 9.98)",True
T0,-0.20697759090777554,0.20697759090777637,"(-0.21, 0.21)",True
T1,-0.2910383144405035,0.2910383144405035,"(-0.29, 0.29)",True
T2,-0.5910314327924637,0.5910314327924637,"(-0.59, 0.59)",True
