parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-46.57618532311352,46.57618532311352,"(-46.58, 46.58)",True
S1,-165.8883866416752,165.8883866416752,"(-165.89, 165.89)",True
M0,-15.645791642152167,15.645791642152167,"(-15.65, 15.65)",True
M1,-19.599614211604404,19.599614211604404,"(-19.60, 19.60)",True
M6,-31.291583284304334,31.291583284304334,"(-31.29, 31.29)",True
M7,-28.798624093452645,28.798624093452645,"(-28.80, 28.80)",True
T0,-0.740301022020855,0.740301022020854,"(-0.74, 0.74)",True
T1,-0.29263371553345785,0.29263371553345785,"(-0.29, 0.29)",True
T2,-0.8823344643614478,0.8823344643614472,"(-0.88, 0.88)",True
