parameter,limmin,limmax,limminmax
S0,-32.025479535382544,54.14436664629779,"(-32.03, 54.14)"
S1,-195.17538082467135,198.18146850703988,"(-195.18, 198.18)"
M0,-18.11300393234515,18.640559707485064,"(-18.11, 18.64)"
M1,-155.52933828792925,-71.67067502963639,"(-155.53, -71.67)"
M6,-34.290652582207386,36.4933104534454,"(-34.29, 36.49)"
M7,-255.50549594454856,-18884.757867194214,"(-255.51, -18884.76)"
T0,-8.33142109263576,10.625879224057524,"(-8.33, 10.63)"
T1,-0.05395137964402412,-1.424903809666346,"(-0.05, -1.42)"
T2,-0.6628895777615171,0.9717128186676912,"(-0.66, 0.97)"
