parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-880.40018999858,-879.5810824895792,"(-880.40, -879.58)",True
S1,-320.3970695953177,-319.57759060606736,"(-320.40, -319.58)",True
M0,10.999897655064629,11.000116550543448,"(11.00, 11.00)",True
M1,79.98913174505843,80.01379551108307,"(79.99, 80.01)",True
M6,21.999795310129258,22.000233101086895,"(22.00, 22.00)",True
M7,144.99529542440834,145.00536353733114,"(145.00, 145.01)",True
T0,2.199872838975974,2.2001515335240995,"(2.20, 2.20)",True
T1,5.99989823056534,6.000139113136693,"(6.00, 6.00)",True
T2,7.999871743594411,8.000150756521249,"(8.00, 8.00)",True
