parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-880.9775183294894,-878.9774843968762,"(-880.98, -878.98)",True
S1,-291.16318243620253,-291.16318243620253,"(-291.16, -291.16)",False
M0,-40.9061209921944,-40.9061209921944,"(-40.91, -40.91)",False
M1,-160.9115100104354,-159.0299776421611,"(-160.91, -159.03)",True
M6,-81.8122419843888,-81.8122419843888,"(-81.81, -81.81)",False
M7,-295.56974870092756,-294.4105824831401,"(-295.57, -294.41)",True
T0,-6.6238671605198,-6.574640910123404,"(-6.62, -6.57)",True
T1,-12.00040391776068,-11.999561542327411,"(-12.00, -12.00)",True
T2,-20.006564377436035,-19.993101118240187,"(-20.01, -19.99)",True
