parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,262.01391638304847,401.34240657452926,"(262.01, 401.34)",True
S1,845.4276872703095,1288.6299848596868,"(845.43, 1288.63)",True
M0,77.98142918513439,133.42423836977417,"(77.98, 133.42)",True
M1,70.88611682290781,139.8699524287693,"(70.89, 139.87)",True
M6,155.96285837026878,266.84847673954835,"(155.96, 266.85)",True
M7,115.73300521040774,117.3414811454848,"(115.73, 117.34)",True
T0,3.831892569273541,3.86125720682503,"(3.83, 3.86)",True
T1,0.7437897546722224,0.759574965230564,"(0.74, 0.76)",True
T2,4.292346009854413,4.407289079893842,"(4.29, 4.41)",True
