parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,854.5880136195419,966.7876063862973,"(854.59, 966.79)",True
S1,307.840461718441,362.22614219764745,"(307.84, 362.23)",True
M0,41.55178663228622,43.27629627987682,"(41.55, 43.28)",True
M1,163.6642370950795,170.83455670962567,"(163.66, 170.83)",True
M6,83.10357326457245,86.55259255975363,"(83.10, 86.55)",True
M7,295.39512565732946,307.9583511304398,"(295.40, 307.96)",True
T0,6.741383399199275,7.0354610590506015,"(6.74, 7.04)",True
T1,12.423312414215523,13.045597987853421,"(12.42, 13.05)",True
T2,20.293148431444912,21.122805211307224,"(20.29, 21.12)",True
