parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-56.20484754209366,56.20484754209366,"(-56.20, 56.20)",True
S1,-206.39900392040713,206.39900392040713,"(-206.40, 206.40)",True
M0,-17.82490681762239,17.82490681762239,"(-17.82, 17.82)",True
M1,-21.465877690243275,21.465877690243275,"(-21.47, 21.47)",True
M6,-35.64981363524478,35.64981363524478,"(-35.65, 35.65)",True
M7,-32.120706878956064,32.120706878956064,"(-32.12, 32.12)",True
T0,-0.8262807775877385,0.8262807775877378,"(-0.83, 0.83)",True
T1,-0.3103866226129074,0.3103866226129074,"(-0.31, 0.31)",True
T2,-0.9440909159397475,0.9440909159397469,"(-0.94, 0.94)",True
