parameter,limmin,limmax,limminmax
S0,-493.4078200639222,-388.27996512370373,"(-493.41, -388.28)"
S1,-1591.2922788860749,-1126.4264560109011,"(-1591.29, -1126.43)"
M0,-159.6460966842064,-1260.037926385905,"(-159.65, -1260.04)"
M1,-156.64448042788186,-58.53621517620427,"(-156.64, -58.54)"
M6,-319.27048160521514,-331.9484584988512,"(-319.27, -331.95)"
M7,-255.44154787946022,-19620.7443439099,"(-255.44, -19620.74)"
T0,-8.29760991785361,17.14089547767281,"(-8.30, 17.14)"
T1,4.036865762993457,-1.4099712038368717,"(4.04, -1.41)"
T2,-9.573737356728161,-9.106767641071146,"(-9.57, -9.11)"
