parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-164.00278221531158,164.00278221531158,"(-164.00, 164.00)",True
S1,0,0,"(0.00, 0.00)",False
M0,0,0,"(0.00, 0.00)",False
M1,-72.72557514590109,72.72557514590109,"(-72.73, 72.73)",True
M6,0,0,"(0.00, 0.00)",False
M7,-107.77792995896199,107.77792995896199,"(-107.78, 107.78)",True
T0,-2.6215187823899218,2.62151878238992,"(-2.62, 2.62)",True
T1,-1.0876315448176512,1.0876315448176512,"(-1.09, 1.09)",True
T2,-3.2709791547028466,3.2709791547028466,"(-3.27, 3.27)",True
