parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-146.66959946020253,146.66959946020253,"(-146.67, 146.67)",True
S1,-62.283400127264464,62.283400127264464,"(-62.28, 62.28)",True
M0,-1.444591726328889,1.444591726328889,"(-1.44, 1.44)",True
M1,-5.736946109684642,5.736946109684642,"(-5.74, 5.74)",True
M6,-2.889183452657778,2.889183452657778,"(-2.89, 2.89)",True
M7,-11.275384582030455,11.275384582030455,"(-11.28, 11.28)",True
T0,-0.23351014461875777,0.23351014461875869,"(-0.23, 0.23)",True
T1,-0.39757426326091544,0.39757426326091544,"(-0.40, 0.40)",True
T2,-0.679193717949469,0.679193717949469,"(-0.68, 0.68)",True
