parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-201.34711090188702,201.34711090188702,"(-201.35, 201.35)",True
S1,0,0,"(0.00, 0.00)",False
M0,0,0,"(0.00, 0.00)",False
M1,-72.04652391985604,72.04652391985604,"(-72.05, 72.05)",True
M6,0,0,"(0.00, 0.00)",False
M7,-104.91023084799447,104.91023084799447,"(-104.91, 104.91)",True
T0,-2.4725736022789704,2.4725736022789704,"(-2.47, 2.47)",True
T1,-0.9141700166363306,0.9141700166363306,"(-0.91, 0.91)",True
T2,-2.8351152019996713,2.8351152019996713,"(-2.84, 2.84)",True
