parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-127.49998308529727,127.49998308529727,"(-127.50, 127.50)",True
S1,0,0,"(0.00, 0.00)",False
M0,0,0,"(0.00, 0.00)",False
M1,-59.61233233401083,59.61233233401083,"(-59.61, 59.61)",True
M6,0,0,"(0.00, 0.00)",False
M7,-85.97100748975383,85.97100748975383,"(-85.97, 85.97)",True
T0,-2.1795397672506462,2.1795397672506462,"(-2.18, 2.18)",True
T1,-0.8350148641027345,0.8350148641027345,"(-0.84, 0.84)",True
T2,-2.6037299886822196,2.6037299886822196,"(-2.60, 2.60)",True
