parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-119.31555398160884,119.31555398160884,"(-119.32, 119.32)",True
S1,-51.66751732444399,51.66751732444399,"(-51.67, 51.67)",True
M0,-1.1390880269572514,1.1390880269572514,"(-1.14, 1.14)",True
M1,-4.305757156383551,4.305757156383551,"(-4.31, 4.31)",True
M6,-2.278176053914503,2.278176053914503,"(-2.28, 2.28)",True
M7,-8.591131496855283,8.591131496855283,"(-8.59, 8.59)",True
T0,-0.18330545032901827,0.18330545032901924,"(-0.18, 0.18)",True
T1,-0.24876056225899093,0.24876056225899093,"(-0.25, 0.25)",True
T2,-0.550062451807205,0.550062451807205,"(-0.55, 0.55)",True
