parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-55.9197274991614,55.9197274991614,"(-55.92, 55.92)",True
S1,-205.74492280819518,205.74492280819518,"(-205.74, 205.74)",True
M0,-17.95017161967066,17.95017161967066,"(-17.95, 17.95)",True
M1,-21.51495005819936,21.51495005819936,"(-21.51, 21.51)",True
M6,-35.90034323934132,35.90034323934132,"(-35.90, 35.90)",True
M7,-32.184781215948604,32.184781215948604,"(-32.18, 32.18)",True
T0,-0.834809620693032,0.8348096206930312,"(-0.83, 0.83)",True
T1,-0.3124896071307726,0.3124896071307726,"(-0.31, 0.31)",True
T2,-0.9508943437457273,0.9508943437457267,"(-0.95, 0.95)",True
