parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-168.23746915047974,168.23746915047974,"(-168.24, 168.24)",True
S1,0,0,"(0.00, 0.00)",False
M0,0,0,"(0.00, 0.00)",False
M1,-77.55320343308394,77.55320343308394,"(-77.55, 77.55)",True
M6,0,0,"(0.00, 0.00)",False
M7,-115.73154640884,115.73154640884,"(-115.73, 115.73)",True
T0,-2.73408193586826,2.73408193586826,"(-2.73, 2.73)",True
T1,-1.1180413755421885,1.1180413755421885,"(-1.12, 1.12)",True
T2,-3.3830728476205945,3.3830728476205945,"(-3.38, 3.38)",True
