parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-150.55082364535568,150.55082364535568,"(-150.55, 150.55)",True
S1,-64.01290148569605,64.01290148569605,"(-64.01, 64.01)",True
M0,-1.5011879929657013,1.5011879929657013,"(-1.50, 1.50)",True
M1,-5.8969073079014365,5.8969073079014365,"(-5.90, 5.90)",True
M6,-3.0023759859314025,3.0023759859314025,"(-3.00, 3.00)",True
M7,-11.624620936648512,11.624620936648512,"(-11.62, 11.62)",True
T0,-0.2405318840129987,0.24053188401299957,"(-0.24, 0.24)",True
T1,-0.41975836409177286,0.41975836409177286,"(-0.42, 0.42)",True
T2,-0.7009702680650061,0.7009702680650061,"(-0.70, 0.70)",True
