parameter,limmin,limmax,limminmax
S0,-43.660861078877836,43.660861078877836,"(-43.66, 43.66)"
S1,-167.21069165655734,167.21069165655734,"(-167.21, 167.21)"
M0,-16.072811142169716,16.072811142169716,"(-16.07, 16.07)"
M1,-15.914812227377015,15.914812227377015,"(-15.91, 15.91)"
M6,-32.14562228433943,32.14562228433943,"(-32.15, 32.15)"
M7,-21.491117525556213,21.491117525556213,"(-21.49, 21.49)"
T0,-0.6762678037700822,0.6762678037700834,"(-0.68, 0.68)"
T1,-0.14456098079689605,0.14456098079689605,"(-0.14, 0.14)"
T2,-0.7619342871421807,0.7619342871421807,"(-0.76, 0.76)"
