parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,516.411977062155,525.6226187361754,"(516.41, 525.62)",True
S1,159.1152931690572,161.4491769467121,"(159.12, 161.45)",True
M0,36.92226985042582,37.267875707233074,"(36.92, 37.27)",True
M1,149.01070884680487,181.7325784058527,"(149.01, 181.73)",True
M6,73.84453970085164,74.53575141446615,"(73.84, 74.54)",True
M7,264.3219002826856,266.62682070343294,"(264.32, 266.63)",True
T0,6.153261272979428,7.473450518522275,"(6.15, 7.47)",True
T1,11.603169210173718,13.419758364091773,"(11.60, 13.42)",True
T2,17.98263384990611,18.05995849577881,"(17.98, 18.06)",True
