parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-153.13943133618352,153.13943133618352,"(-153.14, 153.14)",True
S1,0,0,"(0.00, 0.00)",False
M0,0,0,"(0.00, 0.00)",False
M1,-67.95321401694825,67.95321401694825,"(-67.95, 67.95)",True
M6,0,0,"(0.00, 0.00)",False
M7,-100.72366276326822,100.72366276326822,"(-100.72, 100.72)",True
T0,-2.448835908045313,2.4488359080453135,"(-2.45, 2.45)",True
T1,-1.0257913824924383,1.0257913824924383,"(-1.03, 1.03)",True
T2,-3.0610209729584934,3.0610209729584934,"(-3.06, 3.06)",True
